state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
AZ,Arizona,city,Extended,Kingman,28912,35.18944,-114.05301,/{segment}/az/kingman/,tier1-corridor-state
AZ,Arizona,city,Extended,Drexel Heights,27749,32.14119,-111.02843,/{segment}/az/drexel-heights/,tier1-corridor-state
AZ,Arizona,city,Extended,Fortuna Foothills,26265,32.65783,-114.41189,/{segment}/az/fortuna-foothills/,tier1-corridor-state
AZ,Arizona,city,Extended,Sahuarita,25707,31.95758,-110.95565,/{segment}/az/sahuarita/,tier1-corridor-state
AZ,Arizona,corridor,Core,I-10 (Arizona),,,,/{segment}/corridors/i-10/az/,tier1-freight-corridor; full-exit-coverage
AZ,Arizona,corridor,Core,I-15 (Arizona),,,,/{segment}/corridors/i-15/az/,tier1-freight-corridor; full-exit-coverage
AZ,Arizona,corridor,Extended,I-17 (Arizona),,,,/{segment}/corridors/i-17/az/,tier2-freight-corridor; route-page-only
AZ,Arizona,corridor,Core,I-40 (Arizona),,,,/{segment}/corridors/i-40/az/,tier1-freight-corridor; full-exit-coverage
AZ,Arizona,corridor,Extended,I-8 (Arizona),,,,/{segment}/corridors/i-8/az/,tier2-freight-corridor; route-page-only
CA,California,city,Core,Los Angeles,3820914,34.05223,-118.24368,/{segment}/ca/los-angeles/,pop>=50k;top10-in-state
